Table Name,Description,Label,Action,Property Key,Property Value
sysRelationshipViewTable,关联视图,,,canExport|select|frozen|frozenRight|pagination|showAddRow|sizeChanger|getRowClass|showFooter,false|multi|3|2|true|false|true|if($data.ISINVALID==='Y'){return 'isInvalid'}|false
sysApproveErrorTable,审批无效附件,,,pagination,false
sysDesignReviewTable,设计评审,basic.common.table.sysDesignReviewTable,,frozenRight,1
sysBOMTable,BOM,basic.common.table.sysBOMTabel,,showFooter|draggable|pagination|total|select|mode|size|frozenRight|wrap|frozen|processUrl|canExport|checkStrictly|draggable|dragProcess|process|isFrontSort|getRowClass|rowDragValidate|rowDropValidate,false|true|false|false|multi|edit|middle|1|true|2|/ItemManagement/IItemManagementService/cellSave|false|false|true|sysBOMDragAction|sysBomCellSaveAction|true|if($data.cutStatus==='cutting'){return 'bom-del-cutting'}|sysValidBomDragAction|sysValidBomDropAction
sysParentTable,相关父项,,,select|size|frozenRight|wrap|frozen|total,multi|middle|1|true|2|false
sysModelReferencedTable,相关父项,,,select|size|frozenRight|wrap|frozen|total,multi|middle|1|true|2|false
sysDemandManagementTable,需求管理,basic.common.table.sysDemandManagementTable,,size|sizeChanger|frozen|frozenRight|select,middle|true|2|1|multi
sysTestCaseTable,测试用例,basic.common.table.sysTestCaseTable,,size|sizeChanger|frozen|frozenRight|select,middle|true|2|1|multi
sysPermissionSettingTable,权限设置,basic.common.table.sysPermissionSettingTable,,,
sysSetParticipantsTable,设置参与人员,basic.common.table.sysSetParticipantsTable,,pagination|total|canExport|size|canSet|showFooter|showAddRow,false|false|false|middle|false|false|false
sysModelStructureTable,CAD模型结构,basic.common.table.sysModelStructureTable,,total|canExport|size|frozenRight|wrap|isOnlyRead|frozen,false|false|middle|1|true|true|1
sysProcessTable,工艺流程组成,basic.common.table.sysProcessTable,,select|fixHeader|noResult|ellipsis|size|canExport|frozen|frozenRight|canSet,multi|true|true|true|small|true|2|1|true
sysProcessCpTable,工艺流程组成,basic.common.table.sysProcessTable,,select|fixHeader|noResult|ellipsis|size|canExport|frozen|frozenRight,multi|true|true|true|middle|true|2|1
sysProcessPfmeaTable,工艺流程组成,basic.common.table.sysProcessTable,,select|fixHeader|noResult|ellipsis|size|canExport|frozen|frozenRight,multi|true|true|true|middle|true|2|1
sysGlobalSearchTable,全局搜索,basic.common.table.sysGlobalSearchTable,,frozen|frozenRight|draggable|canExport|sizeChanger|pageSizeIndex|isRowCheckable|canSet|initQuery,2|1|false|false|true|1|`($origin['HASAUTH'] === true || $origin['HASAUTH']===undefined)`|true|false
sysTableObjectGlobalSearchTable,table对象类型全局搜索,basic.common.table.sysGlobalSearchTable,,frozen|frozenRight|draggable|canExport|sizeChanger|select|isRowCheckable|initQuery,2|1|false|false|true|single|`($origin['HASAUTH'] === true || $origin['HASAUTH']===undefined)`|false
sysCADGlobalSearchTable,全局搜索(CAD),basic.common.table.sysGlobalSearchTable,,select|frozen|frozenRight|sizeChanger|size|wrap|cardWidth|cardHeight|cardRows|cardCols|canSwitch|pageSizeOptions|canExport|draggable|action|showMode,multi|2|1|true|middle|true|150px|170px|20|24|true|10;20;50;100;500|false|true|event/name?moveProcess=sysDesginCardDragOver|card
sysECMGlobalSearchTable,全局搜索,basic.common.table.sysECMGlobalSearchTable,,frozen|frozenRight|draggable|sizeChanger|isRowCheckable|initQuery,2|1|false|true|`($origin['HASAUTH'] === true || $origin['HASAUTH']===undefined)`|false
