Toolbar Name,Description,Label,Children,Property Key,Property Value
sysNewOutInstanceFileTransToolbar,文件转换,queue.title.fileTrans,sysOutFileTransOnlyCommand|sysOutEleSignOnlyCommand|sysOutFileTransAndSignCommand,masterStyle|visiableExpression|visiableURL,link|`$OBJECTTYPE$==='2DCad'||$OBJECTTYPE$==='3DCad'||$OBJECTTYPE$==='ECad'`|/Queue/ITransformService/listTransConfig?GUID$=$GUID$&CLASSGUID$=$CLASSGUID$&CLASSNAME$=$CLASSNAME$
sysDrawApproveToolbar,图纸审批,basic.common.toolbar.sysDrawApproveToolbar,sysSaveIntevueCommentCommand|sysDrawApproveNextCommand|sysDrawApprovePreviousCommand|sysDrawApproveDownLoadAllCommand,,
sysMainItemTableOptionToolbar,主物料表格操作列,basic.common.toolbar.sysMainItemTableOptionToolbar,sysMainItemTableRemoveCommand,,
sysMainItemTableBatchToolbar,主物料表格批量操作,basic.common.toolbar.sysMainItemTableBatchToolbar,sysMainItemTableBatchRemoveCommand,,
sysReplaceItemTableOptionToolbar,替代物料表格操作列,basic.common.toolbar.sysReplaceItemTableOptionToolbar,sysReplaceItemTableAddCommand_|sysReplaceItemTableRemoveCommand,,
sysReplaceItemTableBatchToolbar,替代物料表格批量操作,basic.common.toolbar.sysReplaceItemTableOptionToolbar,sysReplaceItemTableBatchRemoveCommand|sysReplaceItemBatchEffectiveDateCommand|sysReplaceItemBatchExpirationDateCommand,,
sysMainItemAddTableOperationToolbar,新增主物料表格操作列,basic.common.toolbar.sysMainItemAddTableOperationToolbar,sysReferenceMainItemTableCommand,,
sysUsedBOMTableOptionToolbar,被用在BOM表格操作列,basic.common.toolbar.sysUsedBOMTableOptionToolbar,sysNewUsedBOMTableDeleteCommand,,
sysUsedBOMFloatToolbar,被用在BOM表格浮动toolbar,basic.common.toolbar.sysUsedBOMFloatToolbar,sysNewUsedBOMTableBatchDeleteCommand,,
sysUsedBOMTableToolbar,被用在BOM页签toolbar,basic.common.toolbar.sysUsedBOMTableToolbar,sysUsedBOMAddCommand,,
sysUsedBOMAddTableToolbar,被用在BOM新增toolbar,basic.common.toolbar.sysUsedBOMAddTableToolbar,sysUsebBOMSearchCommand,,
sysMainItemAddTableToolbar,新增主物料搜索toolbar,basic.common.toolbar.sysMainItemAddTableToolbar,sysNewMainItemSearchCommand,,
sysReferenceMainItemSearchToolbar,参考主物料搜索toolbar,basic.common.toolbar.sysReferenceMainItemToolbar,sysReferenceMainItemSearchCommand,,
sysReferenceSubstituteItemToolbar,参考替代物料搜索toolbar,basic.common.toolbar.sysReferenceSubstituteItemToolbar,sysReferenceSubstituteItemSearchCommand,,
sysReplaceGettingTableToolbar,替代获取表格toolbar,basic.common.toolbar.sysReplaceGettingTableToolbar,sysReplaceGettingTableSearchCommand,,
sysReplaceDetailInfoSaveToolbar,替代详细信息保存toolbar,basic.common.toolbar.sysReplaceDetailInfoSaveToolbar,sysReplaceDetailInfoSaveCommand,,
sysECOOtherTableToolbar,操作,,eciEditCommand|sysECODeleteECICommand,,
sysDesignListToolBar,设计清单,basic.common.toolbar.sysDesignListToolBar,sysDesignListSearchCommand,,
sysDesignListRevocationOptionToolBar,设计清单操作,basic.common.toolbar.sysDesignStoreOptionToolBar,sysDivideWorkCommand|sysSendWorkCommand|sysRevocationCommand,,
sysDesignStoreOtherToolBar_,更多,common.toolbar.sysInstanceMoreOperationToolbar,sysInstanceDeleteCommand||sysNewRevisionCommand|sysOpenECRCommand,nzIcon|trigger,unordered-list|hover
sysDesignListBatchOptionToolbar,设计清单批量操作,basic.common.toolbar.sysDesignListOptionToolbar,sysfloatDesignListBatchSendWorkCommand|sysfloatDesignListBatchDivideWorkCommand|sysfloatDesignListBatchRevocationOptionCommand,,
sysFabricationProcessInstanceDetailToolbar,制造大纲的toolbar,basic.common.toolbar.sysInstanceDetailToolbar,sysNewOutInstanceDetailFormCheckInCommand|sysNewOutInstanceDetailFormCheckOutCommand|sysInstanceSaveCommand,align|reviseIndex,left|4
sysFabricationOutlineProcessFlowConstituteTableToolBar,制造大纲工工艺流程组成,工艺流程组成,sysFabricationOutlineProcessFlowConstituteNewCommand|sysFabricationOutlineProcessFlowConstituteAddCommand|sysFabricationOutlineProcessFlowConstituteGeneratePBOMCommand|sysFabricationOutlineProcessFlowConstituteSerialNumberRefreshCommand,,
sysFabricationOutlineProcessFlowConstituteProcessAddToolBar,制造大纲工工艺流程组成,工艺流程组成,sysFabricationOutlineProcessFlowConstituteProcessAddSearchCommand,,
sysFabricationOutlineProcessFlowConstituteOptionToolBar,制造大纲工工艺流程组成操作,basic.common.toolbar.ItemManagerTableOptionToolBar,sysFabricationOutlineProcessFlowConstituteExportSOPCommand|sysFabricationOutlineProcessFlowConstituteDeleteCommand,,
sysFabricationOutlineProcessFlowConstituteBatchToolbar,,basic.common.toolbar.DeleteToolbar,sysFabricationOutlineProcessFlowConstituteBatchExportSOPCommand|sysFabricationOutlineProcessFlowConstituteBatchDeleteCommand,,
sysFabricationOutlineProcessFlowConstituteTablePlusToolbar,制造大纲制造工序添加新建Toolbar,,sysFabricationOutlineProcessFlowConstituteTablePlusMoreToolbar,,
sysFabricationOutlineProcessFlowConstituteTablePlusMoreToolbar,制造大纲制造工序添加新建Toolbar,,sysFabricationOutlineProcessFlowConstituteAddBrotherNodeCommand|sysFabricationOutlineProcessFlowConstituteNewBrotherNodeCommand,icon|class|trigger,add|sysBOMTreeTableHiddenPlus|hover
sysAssemblyOutlineProcessFlowConstituteToolBar,装配大纲工艺流程组成toolbar,装配大纲工艺流程组成toolbar,sysAssemblyOutlineProcessFlowConstituteAddCommand|sysAssemblyOutlineProcessFlowConstituteDeleteCommand|sysAssemblyOutlineProcessFlowConstituteGeneratePBOMCommand,,
sysAssemblyOutlineProcessFlowConstituteNewAndAddToolbar,装配大纲table的toolbar,basic.common.toolbar.DeleteToolbar,sysAssemblyOutlineProcessFlowConstituteTableNewCommand|sysAssemblyOutlineProcessFlowConstituteTableAddCommand|sysAssemblyOutlineProcessFlowConstituteSerialNumberRefreshCommand,,
sysAssemblyOutlineProcessFlowConstituteBatchToolbar,装配大纲table的批量toolbar,basic.common.toolbar.DeleteToolbar,sysAssemblyOutlineProcessFlowConstituteBatchExportSOPCommand|sysAssemblyOutlineProcessFlowConstituteBatchCopyCommand|sysAssemblyOutlineProcessFlowConstituteBatchDeleteCommand,,
sysAssemblyOutlineProcessFlowConstituteTableOptionToolBar,装配大纲table的操作列toolbar,装配大纲table的操作列toolbar,sysAssemblyOutlineProcessFlowConstituteExportSOPCommand|sysAssemblyOutlineProcessFlowConstituteOptionDeleteCommand,,
sysAssemblyOutlineProcessFlowConstituteProcessAddToolBar,制造大纲工工艺流程组成,工艺流程组成,sysAssemblyOutlineProcessFlowConstituteProcessAddSearchCommand,,
sysOperatingStationAddToolBar,作业站添加弹窗toolbar,,sysOperatingStationAddSearchCommand,,
sysAssemblyOutlineProcessFlowConstituteTablePlusToolbar,装配大纲制造工序添加新建Toolbar,,sysAssemblyOutlineProcessFlowConstituteTablePlusMoreToolbar,,
sysAssemblyOutlineProcessFlowConstituteTablePlusMoreToolbar,制造大纲制造工序添加新建Toolbar,,sysAssemblyOutlineProcessFlowConstituteAddBrotherNodeCommand|sysAssemblyOutlineProcessFlowConstituteNewBrotherNodeCommand,icon|class|trigger,add|sysBOMTreeTableHiddenPlus|hover
sysProductTemplateManageToolBar,产品库模板管理,basic.common.toolbar.ItemManagerTableOptionToolBar,sysTemplateManageSearchCommand,,
sysProductTemplateManageOptionToolBar,操作,basic.common.toolbar.ItemManagerTableOptionToolBar,sysTemplateManageEditCommand|sysTemplateManageTeamCommand|sysTemplateManageStopCommand|sysTemplateManageEnableCommand|sysTemplateManageDeleteCommand,,
sysLightWeightDrawingOptionToolbar,轻量图纸预览toolbar,预览,sysLightWeightDrawingPreviewCommand
sysInstanceDetailTaskObjectToolbar,任务对象详细信息,basic.common.toolbar.sysInstanceDetailToolbar,sysInstanceDetailObjectSaveCommand|sysInstanceDetailObjectAssignCommand|sysInstanceDetailObjectDeleteCommand|sysInstanceDetailObjectStartCommand|sysInstanceDetailObjectTransferCommand|sysInstanceDetailObjectUpdateCommand|sysInstanceDetailObjectPauseCommand|sysInstanceDetailObjectSubmitCommand|sysInstanceDetailObjectAdmeaCommand|sysInstanceDetailObjectCancelCommand|sysInstanceDetailObjectAuditCommand|sysInstanceDetailObjectWithdrawCommand,align|reviseIndex,left|13
sysInstanceDetailProcessTaskObjectToolbar,工艺任务对象详细信息,basic.common.toolbar.sysInstanceDetailToolbar,sysInstanceDetailObjectSaveCommand|sysInstanceDetailObjectAssignCommand|sysInstanceDetailObjectDeleteCommand|sysInstanceDetailObjectStartCommand|sysInstanceDetailObjectTransferCommand|sysInstanceDetailObjectUpdateCommand|sysInstanceDetailObjectPauseCommand|sysInstanceDetailProcessObjectCompleteCommand|sysInstanceDetailObjectAdmeaCommand|sysInstanceDetailObjectCancelCommand|sysInstanceDetailObjectAuditCommand|sysInstanceDetailObjectWithdrawCommand,align|reviseIndex,left|13
sysInstanceDetailTaskObjectTopOthersToolbar,任务对象详细信息,basic.common.toolbar.sysInstanceDetailToolbar,sysInstanceDetailTaskObjectOthersToolbar
sysInstanceDetailTaskObjectOthersToolbar,任务对象详细信息更多,common.toolbar.sysInstanceMoreOperationToolbar,sysInstanceDetailOthersJournalCommand
sysInstanceAddDeliverablesToolbar,新增交付物toolbar,交付物,sysBOMAddDeliverablesCommand|sysBOMDeliverablesNewCommand|sysAddDeliverablesDeleteCommand
sysProcessTaskDeliverablesOptionToolbar,工艺任务操作toolbar,工艺任务操作toolbar,sysProcessTaskDeliverablesDeleteCommand
sysInstanceAddJournalToolbar,新增子任务,新增子任务,sysAddJournalCommand
sysNewOutFileTableToolbar,附件表格Toolbar(新布局),,sysNewOutFileUploadCommand|sysDrawModelDownloadCommand,align|reviseIndex,left|0
